Less developed regions,,1950,41.1491
Less developed regions,,1951,42.0572
Less developed regions,,1952,43.1886
Less developed regions,,1953,43.8392
Less developed regions,,1954,44.7105
Less developed regions,,1955,45.2869
Less developed regions,,1956,45.8185
Less developed regions,,1957,46.2609
Less developed regions,,1958,46.7053
Less developed regions,,1959,44.2722
Less developed regions,,1960,42.1781
Less developed regions,,1961,44.9808
Less developed regions,,1962,48.5538
Less developed regions,,1963,49.2051
Less developed regions,,1964,49.8027
Less developed regions,,1965,49.5869
Less developed regions,,1966,50.3115
Less developed regions,,1967,50.9201
Less developed regions,,1968,51.7101
Less developed regions,,1969,52.2537
Less developed regions,,1970,52.5467
Less developed regions,,1971,52.1936
Less developed regions,,1972,53.662
Less developed regions,,1973,54.2595
Less developed regions,,1974,54.6658
Less developed regions,,1975,54.9294
Less developed regions,,1976,55.2972
Less developed regions,,1977,55.9466
Less developed regions,,1978,56.4012
Less developed regions,,1979,57.1663
Less developed regions,,1980,57.6225
Less developed regions,,1981,58.0922
Less developed regions,,1982,58.5456
Less developed regions,,1983,58.8065
Less developed regions,,1984,59.2088
Less developed regions,,1985,59.6265
Less developed regions,,1986,60.1441
Less developed regions,,1987,60.6375
Less developed regions,,1988,60.8879
Less developed regions,,1989,61.3722
Less developed regions,,1990,61.6082
Less developed regions,,1991,61.7652
Less developed regions,,1992,62.0997
Less developed regions,,1993,62.4609
Less developed regions,,1994,62.3192
Less developed regions,,1995,63.0263
Less developed regions,,1996,63.3065
Less developed regions,,1997,63.6186
Less developed regions,,1998,63.8221
Less developed regions,,1999,64.2368
Less developed regions,,2000,64.6673
Less developed regions,,2001,65.0137
Less developed regions,,2002,65.3951
Less developed regions,,2003,65.7786
Less developed regions,,2004,66.0554
Less developed regions,,2005,66.512
Less developed regions,,2006,66.9309
Less developed regions,,2007,67.3427
Less developed regions,,2008,67.6149
Less developed regions,,2009,67.9723
Less developed regions,,2010,68.4316
Less developed regions,,2011,68.7194
Less developed regions,,2012,69.1821
Less developed regions,,2013,69.5086
Less developed regions,,2014,69.7767
Less developed regions,,2015,70.0346
Less developed regions,,2016,70.2966
Less developed regions,,2017,70.5022
Less developed regions,,2018,70.879
Less developed regions,,2019,71.1054
Less developed regions,,2020,70.5423
Less developed regions,,2021,69.3931
Less developed regions,,2022,71.3377
Less developed regions,,2023,71.7284
