Entity,Code,Year,Trade (% of GDP)
Angola,AGO,2020,54.344227
Central African Republic,CAF,2020,49.52102
Chad,TCD,2020,40.64282
Democratic Republic of Congo,COD,2020,61.02847
Equatorial Guinea,GNQ,2020,77.92789
Gabon,GAB,2020,70.11405
