Entity,Code,Year,CO₂ emissions per capita
Brunei,BRN,1990,19.618296
Cambodia,KHM,1990,0.17090957
Indonesia,IDN,1990,0.84463084
Laos,LAO,1990,0.11896215
Malaysia,MYS,1990,3.0431683
Myanmar,MMR,1990,0.10637899
Philippines,PHL,1990,0.6487035
Singapore,SGP,1990,14.322831
Thailand,THA,1990,1.5814012
Vietnam,VNM,1990,0.32514757
