Entity,Code,Year,Trade (% of GDP)
Benin,BEN,2020,44.833233
Burkina Faso,BFA,2020,60.73978
Cape Verde,CPV,2020,78.393456
Gambia,GMB,2020,47.39552
Ghana,GHA,2020,66.5755
Guinea,GIN,2020,115.76526
Guinea-Bissau,GNB,2020,42.885387
Mali,MLI,2020,56.041546
Mauritania,MRT,2020,86.77617
Niger,NER,2020,35.51299
Senegal,SEN,2020,60.04687
Sierra Leone,SLE,2020,30.6131
Togo,TGO,2020,55.065952
