Entity,Code,Year,Trade (% of GDP)
Belgium,BEL,1990,121.46785
Canada,CAN,1990,49.994465
Denmark,DNK,1990,67.30458
France,FRA,1990,44.58629
Germany,DEU,1990,45.688953
Greece,GRC,1990,39.035732
Ireland,IRL,1990,105.02943
Italy,ITA,1990,36.238228
Netherlands,NLD,1990,104.115685
Norway,NOR,1990,71.3871
Spain,ESP,1990,35.652905
Sweden,SWE,1990,55.905518
United Kingdom,GBR,1990,48.24983
United States,USA,1990,19.815067
