Entity,Code,Year,Trade (% of GDP)
Brunei,BRN,2020,110.291
Cambodia,KHM,2020,122.1054
Indonesia,IDN,2020,32.972176
Malaysia,MYS,2020,116.788185
Philippines,PHL,2020,58.16956
Singapore,SGP,2020,332.0408
Thailand,THA,2020,97.80074
Vietnam,VNM,2020,163.24586
