Entity,Code,Year,GDP per capita,GDP per capita (Annotations)
Benin,BEN,1990,1811.0,
Burkina Faso,BFA,1990,1286.0,
Cape Verde,CPV,1990,1965.0,
Gambia,GMB,1990,1400.0,
Ghana,GHA,1990,1693.0,
Guinea,GIN,1990,861.0,
Guinea-Bissau,GNB,1990,1270.0,
Liberia,LBR,1990,1690.0,
Mali,MLI,1990,1191.0,
Mauritania,MRT,1990,1511.0,
Niger,NER,1990,872.0,
Nigeria,NGA,1990,1773.0,
Senegal,SEN,1990,1999.0,
Sierra Leone,SLE,1990,1635.0,
Togo,TGO,1990,1275.0,
