Entity,Code,Year,Life expectancy
China,CHN,1990,68.1547
Japan,JPN,1990,78.9928
Mongolia,MNG,1990,58.8174
North Korea,PRK,1990,70.4835
South Korea,KOR,1990,70.9936
Taiwan,TWN,1990,73.9362
