Entity,Code,Year,Trade (% of GDP)
Brunei,BRN,1990,57.74843
Indonesia,IDN,1990,52.89186
Laos,LAO,1990,35.84721
Malaysia,MYS,1990,146.88826
Philippines,PHL,1990,42.922356
Singapore,SGP,1990,344.3322
Thailand,THA,1990,75.782364
Vietnam,VNM,1990,81.3157
