Entity,Code,Year,CO₂ emissions per capita
Belgium,BEL,1990,12.080694
Canada,CAN,1990,16.481726
Denmark,DNK,1990,10.402008
France,FRA,1990,6.9293327
Germany,DEU,1990,13.233256
Greece,GRC,1990,8.133435
Ireland,IRL,1990,9.3754015
Italy,ITA,1990,7.68362
Netherlands,NLD,1990,10.846517
Norway,NOR,1990,8.254036
Spain,ESP,1990,5.8688183
Sweden,SWE,1990,6.708656
United Kingdom,GBR,1990,10.4927225
United States,USA,1990,20.253748
