Entity,Code,Year,Trade (% of GDP)
Comoros,COM,2020,33.729935
Djibouti,DJI,2020,225.74487
Ethiopia,ETH,2020,24.006115
Kenya,KEN,2020,30.39914
Madagascar,MDG,2020,49.010708
Malawi,MWI,2020,41.032345
Mauritius,MUS,2020,121.12523
Mozambique,MOZ,2020,99.90614
Rwanda,RWA,2020,55.18795
Seychelles,SYC,2020,153.48334
Somalia,SOM,2020,75.69541
Tanzania,TZA,2020,27.963015
Uganda,UGA,2020,37.000694
Zambia,ZMB,2020,79.20685
Zimbabwe,ZWE,2020,40.178406
