Entity,Code,Year,GDP per capita,GDP per capita (Annotations)
Afghanistan,AFG,1990,963.0,
Bangladesh,BGD,1990,1006.0,
India,IND,1990,2087.0,
Nepal,NPL,1990,1315.0,
Pakistan,PAK,1990,2531.0,
Sri Lanka,LKA,1990,3864.0,
