Entity,Code,Year,Trade (% of GDP)
Afghanistan,AFG,2020,46.709896
Bangladesh,BGD,2020,26.271448
Bhutan,BTN,2020,71.83035
India,IND,2020,37.758106
Maldives,MDV,2020,114.3619
Nepal,NPL,2020,40.918873
Pakistan,PAK,2020,26.71628
Sri Lanka,LKA,2020,37.08912
