Entity,Code,Year,CO₂ emissions per capita
Angola,AGO,1990,0.43778652
Central African Republic,CAF,1990,0.06379019
Chad,TCD,1990,0.0630791
Democratic Republic of Congo,COD,1990,0.11582591
Equatorial Guinea,GNQ,1990,0.13132921
Gabon,GAB,1990,4.5588517
