Entity,Code,Year,CO₂ emissions per capita
Angola,AGO,2020,0.49473175
Central African Republic,CAF,2020,0.06633153
Chad,TCD,2020,0.13680632
Democratic Republic of Congo,COD,2020,0.04484622
Equatorial Guinea,GNQ,2020,3.7224493
Gabon,GAB,2020,2.4266992
