Entity,Code,Year,Trade (% of GDP)
Argentina,ARG,2020,30.2037
Bolivia,BOL,2020,37.516434
Brazil,BRA,2020,32.30208
Chile,CHL,2020,58.182865
Colombia,COL,2020,34.055573
Paraguay,PRY,2020,62.760216
Peru,PER,2020,44.245968
Uruguay,URY,2020,47.731873
Venezuela,VEN,2020,26.091234
