Entity,Code,Year,Trade (% of GDP)
Benin,BEN,1990,45.72018
Burkina Faso,BFA,1990,35.42265
Cape Verde,CPV,1990,85.951584
Gambia,GMB,1990,131.48541
Ghana,GHA,1990,42.72818
Guinea,GIN,1990,44.248104
Guinea-Bissau,GNB,1990,46.9705
Mali,MLI,1990,38.45981
Mauritania,MRT,1990,78.12455
Niger,NER,1990,35.61677
Senegal,SEN,1990,44.789265
Sierra Leone,SLE,1990,68.69067
Togo,TGO,1990,59.766487
