Entity,Code,Year,Trade (% of GDP)
Argentina,ARG,1990,14.990859
Bolivia,BOL,1990,46.703274
Brazil,BRA,1990,15.155599
Chile,CHL,1990,61.208637
Colombia,COL,1990,34.77781
Paraguay,PRY,1990,91.30834
Peru,PER,1990,29.469677
Uruguay,URY,1990,41.62847
Venezuela,VEN,1990,57.70722
