Entity,Code,Year,GDP per capita,GDP per capita (Annotations)
Angola,AGO,1990,1384.0,
Central African Republic,CAF,1990,1023.0,
Chad,TCD,1990,692.0,
Democratic Republic of Congo,COD,1990,813.0,
Equatorial Guinea,GNQ,1990,2474.0,
Gabon,GAB,1990,7646.0,
