Entity,Code,Year,Trade (% of GDP)
Bangladesh,BGD,1990,18.966501
Bhutan,BTN,1990,61.216286
India,IND,1990,15.506262
Nepal,NPL,1990,32.188755
Pakistan,PAK,1990,35.034576
Sri Lanka,LKA,1990,68.24391
